"PID","AssessmentYear","Ward_name","DemandTax","DemandCess","DemandPenalty","DemandSWMCess","DemandTotal"
"0","2016-17","1a","570","148","217","0","935"
"0","2015-16","1a","1514","348","939","0","2801"
"0","2014-15","1a","1478","340","1271","0","3089"
"0","2010-11","1a","796","167.16","1448.72","0","2411.88"
"0","2008-09","1a","78","16","179","0","273"
"0","2002-03","1a","952","390","3560","0","4902"
"0","2006-07","1a","390","82","1084","0","1556"
"3190","2002-03","1a","183","81","157","0","421"
"3190","2003-04","1a","183","44","157","0","384"
"3190","2004-05","1a","183","44","157","0","384"
"3190","2005-06","1a","183","44","157","0","384"
"3190","2006-07","1a","183","44","157","0","384"
"3190","2007-08","1a","183","44","157","0","384"
"3190","2008-09","1a","183","44","157","0","384"
"3190","2009-10","1a","183","44","113","0","340"
"3190","2010-11","1a","183","44","70","0","297"
"3190","2011-12","1a","183","44","26","0","253"
"3190","2012-13","1a","311","65","498","0","874"
"3190","2013-14","1a","311","65","423","0","799"
"3190","2014-15","1a","402","85","450","0","937"
"3190","2015-16","1a","402","85","354","0","841"
"3342","2002-03","1a","115","50","0","0","165"
"3342","2003-04","1a","115","27","0","0","142"
"3342","2004-05","1a","115","27","0","0","142"
"3342","2005-06","1a","115","27","0","0","142"
"3342","2006-07","1a","115","27","0","0","142"
"3342","2007-08","1a","115","27","0","0","142"
"3342","2008-09","1a","115","27","0","0","142"
"3342","2009-10","1a","1638","393","0","0","2031"
"3342","2010-11","1a","65","16","0","0","81"
"3342","2011-12","1a","65","16","0","0","81"
"3342","2012-13","1a","65","16","1","0","82"
"3342","2013-14","1a","84","21","0","0","105"
"3342","2014-15","1a","84","22","94","0","200"
"4719","2002-03","1a","206","91","0","0","297"
"4719","2003-04","1a","206","49","0","0","255"
"4719","2004-05","1a","206","49","0","0","255"
"4719","2005-06","1a","206","49","0","0","255"
"4719","2006-07","1a","206","49","0","0","255"
"4719","2007-08","1a","206","49","0","0","255"
"4719","2008-09","1a","206","49","0","0","255"
"4719","2009-10","1a","88","21","0","0","109"
"4719","2010-11","1a","391","94","813","0","1298"
"4719","2011-12","1a","512","123","942","0","1577"
"4719","2012-13","1a","512","123","819","0","1454"
"4719","2013-14","1a","512","123","696","0","1331"
"4719","2014-15","1a","662","172","741","0","1575"
"4719","2015-16","1a","662","172","583","0","1417"
"4879","2015-16","1a","91","21","80","0","192"
"4879","2016-17","1a","408","188","261","0","857"
"4879","2002-03","1a","75","33","0","0","108"
"4879","2003-04","1a","75","18","0","0","93"
"4879","2004-05","1a","75","18","0","0","93"
"4879","2005-06","1a","75","18","0","0","93"
"4879","2006-07","1a","75","18","0","0","93"
"4879","2007-08","1a","75","18","0","0","93"
"4879","2008-09","1a","75","18","0","0","93"
"4879","2009-10","1a","75","33","0","0","108"
"4879","2010-11","1a","54","11","112","0","177"
"4879","2011-12","1a","70","15","129","0","214"
"4879","2012-13","1a","70","15","112","0","197"
"4879","2013-14","1a","223","47","303","0","573"
"4879","2014-15","1a","91","21","102","0","214"
"4880","2002-03","1a","0","0","0","0","0"
"4880","2003-04","1a","0","0","0","0","0"
"4880","2004-05","1a","0","0","0","0","0"
"4880","2005-06","1a","0","0","0","0","0"
"4880","2006-07","1a","0","0","0","0","0"
"4880","2007-08","1a","0","0","0","0","0"
"4880","2008-09","1a","60","14","0","0","74"
"4880","2009-10","1a","61","15","40","0","116"
"4880","2010-11","1a","61","15","26","0","102"
"4880","2011-12","1a","61","15","11","0","87"
"4880","2012-13","1a","61","15","0","0","76"
"4880","2013-14","1a","79","19","11","0","109"
"4880","2014-15","1a","79","21","88","0","188"
"5016","2002-03","1a","0","0","0","0","0"
"5016","2003-04","1a","0","0","0","0","0"
"5016","2004-05","1a","0","0","0","0","0"
"5016","2005-06","1a","0","0","0","0","0"
"5016","2006-07","1a","2431","583","0","0","3014"
"5016","2007-08","1a","350","84","0","0","434"
"5016","2008-09","1a","322","77","277","0","676"
"5016","2009-10","1a","319","77","198","0","594"
"5016","2010-11","1a","317","76","120","0","513"
"5016","2011-12","1a","314","75","44","0","433"
"5016","2012-13","1a","296","71","0","0","367"
"5016","2013-14","1a","355","85","92","360","892"
"5016","2014-15","1a","353","92","7","180","632"
"5017","2002-03","1a","0","0","0","0","0"
"5017","2003-04","1a","0","0","0","0","0"
"5017","2004-05","1a","0","0","0","0","0"
"5017","2005-06","1a","0","0","0","0","0"
"5017","2006-07","1a","0","0","0","0","0"
"5017","2007-08","1a","0","0","0","0","0"
"5017","2008-09","1a","245","59","0","0","396"
"5017","2009-10","1a","245","59","0","0","396"
"5017","2010-11","1a","245","59","0","0","396"
"5017","2011-12","1a","245","59","0","0","396"
"5017","2012-13","1a","245","59","117","0","421"
"5017","2013-14","1a","318","76","76","0","470"
"5017","2014-15","1a","318","83","0","0","401"
"5017","2015-16","1a","296","68","260","0","624"
"5017","2016-17","1a","1334","347","854","0","2535"
"5017","2017-18","1a","341","89","136","0","566"
"5018","2015-16","1a","169","39","149","0","357"
"5018","2016-17","1a","762","198","488","0","1448"
"5018","2017-18","1a","195","51","78","0","324"
"5018","2002-03","1a","0","0","0","0","0"
"5018","2003-04","1a","0","0","0","0","0"
"5018","2004-05","1a","0","0","0","0","0"
"5018","2005-06","1a","0","0","0","0","0"
"5018","2006-07","1a","0","0","0","0","0"
