"SASID","PID","FloorNo","FloorType","FloorUsage","SlabType","FloorTax","PlinthArea","BuildingAge","SelfTenant"
"698479","81202","1","Ground","RESIDENTIAL","RCC roof,Marble Floor,Teak Wood (G,F)","0","1000","0","Self"
"698479","81202","2","Ground","RESIDENTIAL","RCC roof,Marble Floor,Teak Wood (G,F)","0","1000","0","Self"
"698502","90620","1","Ground","RESIDENTIAL","Tiles roof,Mosaic Floor,Teak Wood (G,F)","815.63","1000","1","Self"
"698307","90635","1","Ground","COMMERCIAL","Tiles roof, Red oxide  Floor,J Wood (G.F)","0","1000","0","Self"
"698207","90732","1","Ground","RESIDENTIAL","ACSheetCCFloorJWoodGF","939.93","1000","1","Self"
"698344","90957","1","Ground","RESIDENTIAL","ACSheetCCFloorJWoodGF","1137.84","1200","1","Self"
"698364","90962","1","Ground","RESIDENTIAL","Tiles roof, CC Floor,J Wood (G.F)","700.19","1200","5","Self"
"698366","90962","1","Ground","RESIDENTIAL","Tiles roof, CC Floor,J Wood (G.F)","700.19","1200","6","Self"
"698366","90962","2","First","RESIDENTIAL","Tiles roof, Red oxide  Floor,J Wood (F.F)","780","1200","0","Self"
"698367","90962","1","Ground","RESIDENTIAL","Tiles roof, CC Floor,J Wood (G.F)","700.19","1200","7","Self"
"698367","90962","2","First","RESIDENTIAL","Tiles roof, Red oxide  Floor,J Wood (F.F)","780","1200","1","Self"
"698367","90962","3","Second","RESIDENTIAL","Tiles roof, Red oxide Floor,J Wood (2F)","519.24","1200","7","Self"
"698368","90962","1","Ground","RESIDENTIAL","Tiles roof, CC Floor,J Wood (G.F)","764.83","1200","8","Self"
"698368","90962","2","First","RESIDENTIAL","Tiles roof, Red oxide  Floor,J Wood (F.F)","852","1200","2","Self"
"698368","90962","3","Second","RESIDENTIAL","Tiles roof, Red oxide Floor,J Wood (2F)","512.94","1200","18","Self"
"698369","90962","1","Ground","RESIDENTIAL","Tiles roof, CC Floor,J Wood (G.F)","764.83","1200","9","Self"
"698369","90962","2","First","RESIDENTIAL","Tiles roof, Red oxide  Floor,J Wood (F.F)","852","1200","3","Self"
"698369","90962","3","Second","RESIDENTIAL","Tiles roof, Red oxide Floor,J Wood (2F)","512.94","1200","19","Self"
"698370","90962","1","Ground","RESIDENTIAL","Tiles roof, CC Floor,J Wood (G.F)","764.83","1200","10","Self"
"698370","90962","2","First","RESIDENTIAL","Tiles roof, Red oxide  Floor,J Wood (F.F)","852","1200","4","Self"
"698371","90962","1","Ground","RESIDENTIAL","Tiles roof, CC Floor,J Wood (G.F)","851","1200","11","Self"
"698371","90962","2","First","RESIDENTIAL","Tiles roof, Red oxide  Floor,J Wood (F.F)","948","1200","5","Self"
"698371","90962","3","Second","RESIDENTIAL","Tiles roof, CC Floor,J Wood (2F)","711","1200","0","Self"
"698373","90962","1","Ground","RESIDENTIAL","ACSheetCCFloorJWoodGF","1007.25","1200","0","Self"
"698373","90962","2","First","RESIDENTIAL","Tiles roof, Red oxide  Floor,J Wood (F.F)","0","1200","13","Self"
"698437","90962","1","Ground","COMMERCIAL","ACSheetCCFloorJWoodGF","2384.25","1200","5","Self"
"698627","91048","1","Ground","RESIDENTIAL","ACSheetCCFloorJWoodGF","1920.9","2400","1","Self"
"698627","91048","2","First","RESIDENTIAL","Tiles roof, Red oxide  Floor,J Wood (F.F)","3611.52","2400","1","Non-Self"
"698627","91048","3","First","RESIDENTIAL","Tiles roof, Red oxide  Floor,J Wood (F.F)","3611.52","2400","1","Non-Self"
